,result,max_time,min_time,total_thinking_time,total_move
0,-1,0.0009987354,0.0,0.0079369545,21
1,-1,0.0009989738,0.0,0.0069463253,19
2,1,0.0010032654,0.0,0.011950254,34
3,-1,0.0040004253,0.0,0.015987873,34
4,1,0.0020217896,0.0,0.003019333,6
5,-1,0.0010008812,0.0,0.00496912,20
6,1,0.0,0.0,0.0,10
7,-1,0.0009999275,0.0,0.0019965172,7
8,1,0.0020065308,0.0,0.010003328,30
9,1,0.0010073185,0.0,0.007969141,24
