,result,max_time,min_time,total_thinking_time,total_move,thinking_time
10,-1,0.2837069,0.24197936,1.775893,7,"0.24197936058044434,0.2510111331939697,0.2500007152557373,0.24264168739318848,0.25365161895751953,0.252901554107666,0.2837069034576416"
11,-1,0.2744367,0.23396516,1.7575958,7,"0.26996779441833496,0.23396515846252441,0.2581467628479004,0.2474837303161621,0.23622846603393555,0.27443671226501465,0.2373671531677246"
12,-1,0.3489952,0.2357173,3.9055874,15,"0.25696277618408203,0.2432715892791748,0.244035005569458,0.24796628952026367,0.3005993366241455,0.24417805671691895,0.25019264221191406,0.24667692184448242,0.23901677131652832,0.3065187931060791,0.241469144821167,0.2529606819152832,0.24702692031860352,0.2357172966003418,0.3489952087402344"
13,-1,0.29410505,0.23564482,1.842375,7,"0.24652314186096191,0.28299832344055176,0.23564481735229492,0.2651369571685791,0.29410505294799805,0.27396583557128906,0.24400091171264648"
14,-1,0.3101015,0.23364401,1.7932541,7,"0.2420334815979004,0.2452256679534912,0.28766489028930664,0.2336440086364746,0.2370316982269287,0.3101015090942383,0.23755288124084473"
15,-1,0.28196025,0.23899484,1.7878044,7,"0.24312257766723633,0.25899648666381836,0.23899483680725098,0.28196024894714355,0.25800108909606934,0.25700926780700684,0.24971985816955566"
16,-1,0.3774743,0.23494291,19.309338,76,"0.2435288429260254,0.23877930641174316,0.24764299392700195,0.25696301460266113,0.2749965190887451,0.2440352439880371,0.23699188232421875,0.24999618530273438,0.2420024871826172,0.25661492347717285,0.24796295166015625,0.24988031387329102,0.24308395385742188,0.23675322532653809,0.27103376388549805,0.24359488487243652,0.2579538822174072,0.2603893280029297,0.24418139457702637,0.2729001045227051,0.24555110931396484,0.3130044937133789,0.25371360778808594,0.24400997161865234,0.23965167999267578,0.240966796875,0.24663424491882324,0.23500299453735352,0.26199984550476074,0.26517701148986816,0.2461252212524414,0.24303340911865234,0.24299979209899902,0.2870011329650879,0.2389984130859375,0.24096345901489258,0.2484440803527832,0.24502348899841309,0.27011632919311523,0.25155091285705566,0.26399946212768555,0.24003124237060547,0.24018263816833496,0.23494291305541992,0.23596668243408203,0.377474308013916,0.23809385299682617,0.27600789070129395,0.2398982048034668,0.2423563003540039,0.2784140110015869,0.24983644485473633,0.25396251678466797,0.2506108283996582,0.23996758460998535,0.25036096572875977,0.23999834060668945,0.2963755130767822,0.23958659172058105,0.2480788230895996,0.2577638626098633,0.23882174491882324,0.3170032501220703,0.23866939544677734,0.2589988708496094,0.24572038650512695,0.23713326454162598,0.2649984359741211,0.29697442054748535,0.24373173713684082,0.2461233139038086,0.24565434455871582,0.24420881271362305,0.24025559425354004,0.26599717140197754,0.25188398361206055"
17,-1,0.27558112,0.23503494,3.7136798,15,"0.2500019073486328,0.25165843963623047,0.27558112144470215,0.24470305442810059,0.25165271759033203,0.23503494262695312,0.24392008781433105,0.23663592338562012,0.23916268348693848,0.24970459938049316,0.2409989833831787,0.24516963958740234,0.24419736862182617,0.26203441619873047,0.2432239055633545"
18,-1,0.32287312,0.23759484,25.53648,100,"0.2420356273651123,0.2386629581451416,0.25800037384033203,0.2407076358795166,0.2566342353820801,0.25299763679504395,0.24104022979736328,0.24280524253845215,0.24499773979187012,0.24459362030029297,0.24483180046081543,0.27114129066467285,0.24181485176086426,0.24371623992919922,0.29396486282348633,0.24599981307983398,0.26178693771362305,0.242034912109375,0.29073405265808105,0.26096320152282715,0.24491381645202637,0.2539963722229004,0.26300787925720215,0.2528243064880371,0.24129915237426758,0.2910022735595703,0.24303865432739258,0.24396705627441406,0.25803422927856445,0.24095654487609863,0.2972981929779053,0.24221062660217285,0.2786083221435547,0.24399876594543457,0.24199914932250977,0.25896430015563965,0.24303531646728516,0.2719731330871582,0.24077343940734863,0.25299906730651855,0.24380874633789062,0.24040460586547852,0.3228731155395508,0.27476048469543457,0.27300024032592773,0.2505030632019043,0.2515265941619873,0.24063420295715332,0.23999810218811035,0.26893019676208496,0.24199914932250977,0.24520087242126465,0.24800777435302734,0.24361562728881836,0.28460264205932617,0.2448735237121582,0.2530794143676758,0.2441709041595459,0.2669408321380615,0.25264430046081543,0.24075961112976074,0.2783377170562744,0.24407672882080078,0.2639625072479248,0.24371695518493652,0.29433703422546387,0.26503920555114746,0.24103236198425293,0.27918577194213867,0.24868535995483398,0.2420344352722168,0.24803757667541504,0.24889254570007324,0.28203511238098145,0.24096274375915527,0.25699710845947266,0.26052403450012207,0.24599552154541016,0.3073749542236328,0.24199509620666504,0.26611995697021484,0.2439744472503662,0.2640094757080078,0.24900245666503906,0.24257349967956543,0.2729976177215576,0.2375948429107666,0.2499997615814209,0.2636535167694092,0.24522662162780762,0.2646331787109375,0.2480025291442871,0.2466585636138916,0.24199509620666504,0.24212026596069336,0.24503564834594727,0.24565887451171875,0.285616397857666,0.24503421783447266,0.26665210723876953"
19,1,0.2909603,0.2386384,7.1306143,28,"0.26371073722839355,0.24504423141479492,0.24399948120117188,0.24811720848083496,0.24498414993286133,0.2799949645996094,0.24399542808532715,0.2735319137573242,0.2449939250946045,0.24969482421875,0.24204087257385254,0.2479996681213379,0.27196669578552246,0.23980164527893066,0.2510342597961426,0.25475573539733887,0.24062871932983398,0.28288888931274414,0.24769282341003418,0.2876598834991455,0.28296542167663574,0.24073505401611328,0.24563169479370117,0.2389986515045166,0.29096031188964844,0.24179506301879883,0.23863840103149414,0.2463536262512207"
