,result,max_time,min_time,total_thinking_time,total_move,thinking_time
16,-1,0.2976358,0.2369945,23.757961,95,"0.26271867752075195,0.2410297393798828,0.2419290542602539,0.25196361541748047,0.24199533462524414,0.2421259880065918,0.24763011932373047,0.25824642181396484,0.27925992012023926,0.24001097679138184,0.25008678436279297,0.24299883842468262,0.24130892753601074,0.2507643699645996,0.283764123916626,0.26973438262939453,0.24664950370788574,0.24100351333618164,0.26003456115722656,0.23700428009033203,0.28920841217041016,0.24302983283996582,0.24015593528747559,0.24405717849731445,0.2399766445159912,0.25799989700317383,0.24860787391662598,0.29296398162841797,0.23967885971069336,0.23799872398376465,0.28722381591796875,0.23999738693237305,0.24063348770141602,0.2532994747161865,0.24161720275878906,0.24268317222595215,0.24297761917114258,0.2559995651245117,0.23866868019104004,0.24299979209899902,0.2430129051208496,0.23999929428100586,0.27899169921875,0.24931597709655762,0.24419116973876953,0.25264906883239746,0.23999905586242676,0.24661636352539062,0.24096059799194336,0.2669994831085205,0.24196243286132812,0.24199819564819336,0.2820010185241699,0.23999834060668945,0.2516324520111084,0.24422001838684082,0.23963689804077148,0.23901128768920898,0.23903536796569824,0.27300071716308594,0.23903608322143555,0.24899959564208984,0.24402976036071777,0.23803091049194336,0.2557108402252197,0.24303627014160156,0.2709975242614746,0.24300312995910645,0.2406320571899414,0.2725369930267334,0.2409989833831787,0.2633020877838135,0.24799871444702148,0.24178647994995117,0.23900938034057617,0.2370445728302002,0.2519645690917969,0.23805999755859375,0.24402070045471191,0.24197125434875488,0.23988747596740723,0.2976357936859131,0.23788785934448242,0.24599575996398926,0.2586386203765869,0.24385905265808105,0.2789947986602783,0.23896312713623047,0.2620224952697754,0.24391961097717285,0.23699450492858887,0.244032621383667,0.2442936897277832,0.2401108741760254,0.2572908401489258"
17,-1,0.27199912,0.23537564,2.700429,11,"0.2416675090789795,0.23717474937438965,0.23800253868103027,0.24298810958862305,0.24699854850769043,0.23537564277648926,0.23803329467773438,0.2375802993774414,0.26200008392333984,0.24860906600952148,0.2719991207122803"
18,-1,0.38799953,0.2340014,21.097143,84,"0.2579996585845947,0.23400378227233887,0.24004220962524414,0.2431197166442871,0.23999977111816406,0.2342214584350586,0.2381601333618164,0.24695587158203125,0.26799845695495605,0.23697924613952637,0.2499983310699463,0.23709511756896973,0.2610015869140625,0.2369985580444336,0.23662590980529785,0.2409985065460205,0.23819971084594727,0.2899653911590576,0.24003243446350098,0.24399876594543457,0.263962984085083,0.23802733421325684,0.2680013179779053,0.2557651996612549,0.23896336555480957,0.24596238136291504,0.23808836936950684,0.24096298217773438,0.23909735679626465,0.250166654586792,0.24596357345581055,0.25669050216674805,0.31461262702941895,0.23996543884277344,0.2389669418334961,0.2507309913635254,0.23996567726135254,0.25525450706481934,0.23830056190490723,0.2546975612640381,0.23756194114685059,0.23829293251037598,0.23897266387939453,0.23599958419799805,0.2569706439971924,0.23491477966308594,0.23400139808654785,0.2369990348815918,0.2632761001586914,0.2582731246948242,0.23499822616577148,0.23603320121765137,0.2501356601715088,0.23569083213806152,0.24696660041809082,0.23405027389526367,0.23799681663513184,0.246002197265625,0.2592015266418457,0.27800440788269043,0.24080777168273926,0.23799681663513184,0.23799896240234375,0.23696565628051758,0.25300168991088867,0.24196696281433105,0.30700135231018066,0.3879995346069336,0.3299994468688965,0.23699736595153809,0.2510080337524414,0.24599933624267578,0.2519986629486084,0.27300190925598145,0.2489943504333496,0.2409987449645996,0.24899840354919434,0.246002197265625,0.2850010395050049,0.24000048637390137,0.2995891571044922,0.23997926712036133,0.25494933128356934,0.23700594902038574"
19,-1,0.25579476,0.23796034,1.4646103,6,"0.23906183242797852,0.24018454551696777,0.2557947635650635,0.2379603385925293,0.25160932540893555,0.23999953269958496"
20,-1,0.2822547,0.23447323,5.9313226,24,"0.2409989833831787,0.2451012134552002,0.23447322845458984,0.24790596961975098,0.23815083503723145,0.2416529655456543,0.2387070655822754,0.23781371116638184,0.2806718349456787,0.2411210536956787,0.2418360710144043,0.23732900619506836,0.23865985870361328,0.282254695892334,0.24196243286132812,0.23882055282592773,0.23462748527526855,0.24580907821655273,0.27199816703796387,0.23711347579956055,0.2520003318786621,0.23890209197998047,0.27886319160461426,0.24454927444458008"
21,-1,0.36299896,0.2360003,3.6165824,14,"0.23968100547790527,0.2840077877044678,0.23946547508239746,0.27587223052978516,0.24663472175598145,0.24499773979187012,0.36299896240234375,0.24138188362121582,0.24265384674072266,0.24161601066589355,0.23868799209594727,0.23600029945373535,0.24476194381713867,0.27782249450683594"
22,-1,0.26491284,0.23799801,1.4695668,6,"0.23870348930358887,0.250943660736084,0.2389965057373047,0.23801231384277344,0.26491284370422363,0.23799800872802734"
23,-1,0.26900363,0.23587799,1.489708,6,"0.26119184494018555,0.24759721755981445,0.2361621856689453,0.26900362968444824,0.23987507820129395,0.23587799072265625"
24,-1,0.36724615,0.23486948,15.136847,58,"0.24899959564208984,0.23800086975097656,0.24259281158447266,0.23799490928649902,0.26262879371643066,0.24184775352478027,0.2409963607788086,0.28326892852783203,0.2510368824005127,0.2389998435974121,0.2480008602142334,0.24397969245910645,0.2689940929412842,0.2398364543914795,0.2389967441558838,0.3120384216308594,0.367246150970459,0.27831387519836426,0.2576630115509033,0.25907111167907715,0.24799895286560059,0.30399656295776367,0.2796299457550049,0.35761189460754395,0.24796342849731445,0.25899720191955566,0.3449678421020508,0.2802402973175049,0.24196457862854004,0.234999418258667,0.24199485778808594,0.24000144004821777,0.28800058364868164,0.23696255683898926,0.24297261238098145,0.23797249794006348,0.24139857292175293,0.32964158058166504,0.28100037574768066,0.2579991817474365,0.24030184745788574,0.23554611206054688,0.23799610137939453,0.2377028465270996,0.3000004291534424,0.2416701316833496,0.2649977207183838,0.24103641510009766,0.2793552875518799,0.24701285362243652,0.2409992218017578,0.23728156089782715,0.23799920082092285,0.24200010299682617,0.32925939559936523,0.23486948013305664,0.2559986114501953,0.23599863052368164"
25,-1,0.28319716,0.23499584,2.685423,11,"0.2369990348815918,0.2380356788635254,0.23771142959594727,0.28319716453552246,0.24095463752746582,0.23695707321166992,0.2389979362487793,0.2379605770111084,0.26364612579345703,0.23596739768981934,0.23499584197998047"
