,result,moves
11,1,"['2R', '9L', '0L', '8L', '4L', '9L', '2R', '9L', '2R', '9L', '3R', '8L', '4L', '9L', '2R', '8L', '0L', '7L', '4R', '6L', '2R', '8L', '0L', '8L', '2R', '10L', '1L', '9L', '3R', '8L', '4R', '8L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '7L', '3R', '8L', '3L', '9L', '2R']"
12,1,"['2R', '9L', '0L', '8L', '4L', '9L', '2R', '9L', '2R', '9L', '3R', '8L', '4L', '9L', '2R', '8L', '4L', '7L', '2R', '6L', '2R', '10L']"
13,-1,"['2R', '9L', '4R', '8L', '4L', '8L', '2R', '10L', '3R', '8L', '0L', '8L', '3R', '9L', '3R', '8L', '3L', '7L', '2R']"
14,1,"['8L', '1L', '8L', '2R', '8L', '2R', '7L', '2R', '6L', '2R', '8L', '4R', '6L', '2R', '10L', '3R', '8L', '0L', '9L', '4L', '8L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3R', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3R', '6L', '3L', '8L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '3R', '9L', '1R', '8L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '0R', '8L', '1L', '9L', '0R', '8L', '1R', '7L', '2R', '6L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3R', '8L', '3R', '7L', '4L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '0R', '9L', '1L', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '0R', '9L', '1L', '8L', '0L', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '3R', '9L', '0R', '8L']"
15,1,"['8L', '1L', '8L', '2R', '8L', '2R', '7L', '2R', '6L', '2R', '8L', '4L', '9L', '1R', '9L', '3R', '8L', '1R', '6L', '4R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '1L', '9L', '0L', '10L', '3R', '9L', '4L', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1L', '9L', '0R', '8L', '1L', '7L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3R', '7L', '4R', '7L', '1R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3R', '7L', '2R', '7L', '1L', '6L', '0L', '10L', '2R', '9L', '3R', '8L', '1R', '7L', '2R', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '0R', '9L', '1L', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '0R', '6L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3R', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '0R', '9L', '1L', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '0R', '9L', '1R', '8L', '2R', '7L', '3R', '7L', '4R', '7L', '2R', '7L', '3R', '7L', '1R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '3R', '9L', '0R', '8L', '1R', '8L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0R', '7L', '1R', '6L', '2R', '10L', '3L', '9L', '2R', '8L', '3R', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '1L', '9L', '0L', '10L', '3R', '9L', '4L', '8L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3R', '7L', '4R', '7L', '0L', '6L', '1R', '8L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '1L', '9L', '0L', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '3R', '9L', '1R', '8L', '2R', '7L', '3R', '8L', '3R', '9L', '0R', '8L', '1R', '7L', '2R', '6L', '2R', '10L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1L', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3R', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3R', '6L', '3L', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L']"
16,1,"['8L', '3R', '8L', '2R', '8L', '2R', '8L', '0L', '8L', '3R', '10L', '4R', '8L', '2R', '8L', '0R', '9L', '1R', '8L', '2R']"
17,-1,"['2R', '9L', '3L', '8L', '2R', '9L']"
18,-1,"['2R', '9L', '0R', '8L', '2R', '7L', '2R', '6L', '2R', '10L', '2R', '9L', '2R', '9L', '0R']"
19,-1,"['2R', '9L', '4R', '8L', '4R', '8L', '2R', '6L', '3L', '7L', '3L', '8L', '4R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '1R', '9L', '2R', '8L']"
20,-1,"['2R', '9L', '3L', '8L', '2R', '9L']"
21,1,"['2R', '9L', '3R', '8L', '2R', '8L', '2R', '8L', '0L', '8L', '3R', '10L', '4L', '8L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3R', '7L', '2R', '7L', '3R', '7L', '4L', '6L', '0L', '8L', '2R', '10L', '3R', '9L', '1L', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0L', '10L', '2R', '8L', '0L', '8L', '2R', '10L', '1L', '9L', '0R', '8L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L']"
22,-1,"['2R', '9L', '0L', '8L', '3R', '9L', '2R', '8L', '0L', '8L', '1L', '8L', '2R']"
23,1,"['2R', '9L', '4L', '8L', '2R', '8L', '0R', '8L', '1L', '8L', '2R', '8L']"
24,1,"['8L', '1L', '8L', '2R', '8L', '2R', '7L', '2R', '6L', '2R', '8L', '3R', '9L', '3L', '8L']"
25,1,"['2R', '9L', '4L', '8L', '2R', '8L', '3R', '7L', '2R', '8L', '4R', '10L', '3L', '8L', '2R', '9L', '1L', '8L', '0R', '8L', '2R', '9L', '0L', '8L', '3L', '7L', '3L', '6L', '2R']"
26,-1,"['2R', '9L', '4R', '8L', '4R', '8L', '2R', '6L', '0L', '8L', '4R', '8L', '2R', '10L', '1L', '9L', '3R', '8L']"
27,1,"['2R', '9L', '0L', '8L', '4L', '9L', '2R', '9L', '2R', '9L', '3L', '8L', '1R', '9L', '2R', '8L', '2R', '6L', '2R', '10L', '0R']"
28,-1,"['8L', '3L', '9L', '2R', '8L', '4R', '8L', '2R', '8L', '2R', '8L', '2R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '1L', '9L', '3L', '10L', '2R', '9L', '1R', '8L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '3R', '9L', '0R', '8L', '4R', '8L', '1R', '10L', '2R', '9L', '3R', '8L', '4R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '0R', '8L', '1L', '9L', '0R', '8L', '1L', '7L', '0R', '6L', '1R', '10L', '2R', '9L', '3L', '8L', '2R', '7L', '3R', '8L', '3R', '9L', '3R', '8L', '3R', '7L', '4R', '7L', '2R', '7L', '0L', '9L', '3R', '8L', '4L']"
29,-1,"['2R', '9L', '0R', '8L', '2R', '7L', '2R', '6L', '2R', '10L', '2R', '9L', '2R', '9L', '1L', '8L', '0R', '7L', '2R']"
30,1,"['2R', '9L', '0R', '8L', '2R', '7L', '2R', '6L', '2R', '10L', '2R', '9L', '2R', '9L', '0L', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3R', '7L', '1R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '3R', '9L', '1R', '8L']"
31,1,"['2R', '9L', '4R', '8L', '4L', '8L', '2R', '10L', '3R', '8L', '1L', '9L', '0L', '10L', '2R', '9L', '1R', '8L', '2R', '8L', '0R', '9L', '1L', '8L', '0R', '7L', '1L', '6L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '1R', '9L', '2R', '8L']"
32,1,"['2R', '9L', '0R', '8L', '2R', '7L', '2R', '6L', '2R', '10L', '2R', '9L', '2R', '9L', '0L', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3R', '7L', '4L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '3R', '9L', '1R', '8L']"
33,-1,"['8L', '4L', '8L', '3L', '8L', '2R', '8L', '2R', '6L', '2R', '10L', '0L', '8L', '2R', '8L', '1R', '7L', '2R', '6L', '2R', '10L', '1R', '8L', '2R', '8L', '0R', '9L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '9L', '1R', '8L', '2R']"
34,1,"['8L', '3L', '9L', '2R', '8L', '0R', '8L', '2R', '8L', '0L', '8L']"
35,-1,"['8L', '4R', '8L', '2R', '8L', '0L', '8L', '2R', '7L', '1L', '6L', '2R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '0R']"
36,-1,"['2R', '9L', '4R', '8L', '4L', '8L', '2R', '10L', '0L', '8L', '1L', '7L', '0R', '6L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '7L', '1R', '6L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '0R', '6L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '1L', '9L', '0R', '8L', '2R', '8L', '2R', '10L', '0R']"
37,1,"['2R', '9L', '0L', '8L', '3L', '9L', '2R', '10L', '2R', '9L', '2R', '8L', '1R', '9L', '2R', '10L', '0L', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '3R', '9L', '0R', '8L']"
38,1,"['8L', '1R', '6L', '2R', '6L', '2R', '8L', '4L', '9L', '2R', '8L', '1R', '6L', '3L', '7L', '4L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0L', '10L', '2R', '9L', '0R', '8L', '1R', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3R', '7L', '0L', '6L', '3L', '8L', '2R']"
39,1,"['2R', '9L', '4L', '8L', '2R', '8L', '3L', '7L', '3L', '8L', '2R', '6L', '2R', '10L']"
40,1,"['2R', '9L', '0R', '8L', '2R', '7L', '2R', '6L', '2R', '10L', '2R', '9L', '2R', '9L', '1L', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '0R', '6L', '1R', '10L', '2R', '9L', '3R', '8L', '4L', '7L', '3R', '8L', '3R', '9L', '3R', '8L', '3R', '7L', '4L', '6L', '2R', '10L', '1L', '9L', '3R', '8L', '0R', '7L', '2R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '0R', '6L', '1L', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0R', '8L', '2R', '10L', '1L', '9L', '3R', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0L', '10L', '2R', '9L', '1R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0R', '8L', '2R', '10L', '1L', '9L', '0R', '8L', '1L', '7L', '0L', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3R', '7L', '2R', '7L', '3R', '7L', '0R', '6L', '3L', '8L', '2R']"
41,1,"['8L', '0R', '9L', '1L', '8L', '2R', '9L', '2R', '8L', '0L', '9L', '2R', '8L']"
42,-1,"['8L', '4L', '8L', '3L', '8L', '2R', '8L', '2R', '6L', '2R', '10L', '3L', '8L', '2R', '7L', '0R', '8L', '2R', '7L', '2R']"
43,-1,"['2R', '9L', '0R', '8L', '2R', '7L', '2R', '6L', '2R', '10L', '2R', '9L', '2R', '9L', '3L', '8L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L']"
44,-1,"['8L', '1R', '6L', '2R', '6L', '2R', '8L', '0R', '6L', '2R', '10L', '1R', '9L', '2R', '8L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0L', '8L', '2R', '10L', '1L', '9L', '3R', '8L', '4L', '7L', '0L', '6L', '2R', '10L', '1L', '9L', '0L', '10L', '3L', '8L', '2R']"
45,-1,"['8L', '1L', '8L', '2R', '8L', '2R', '7L', '2R', '6L', '2R', '8L', '1L', '8L', '4L', '7L', '2R', '6L', '2R', '8L', '0L', '8L', '2R', '10L', '0R', '9L', '1R', '8L', '2R', '7L', '3R', '7L', '4R', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3R', '6L', '3L', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3R', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '0R', '6L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '7L', '1L', '6L', '0R', '10L', '1L', '9L', '0R', '8L', '1L', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '1L', '9L', '3R', '8L', '4L', '7L', '0L', '6L', '2R', '10L', '3R', '9L', '0L', '8L', '1L', '7L', '0R', '6L', '1L', '8L', '0R', '9L', '1L', '8L', '0R', '7L', '1L', '6L', '0R', '10L', '1L', '9L', '0R', '8L', '1L', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '0R', '9L', '1L', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '1L', '9L', '3L', '10L', '2R', '9L', '3L', '8L', '2R', '7L', '0R', '6L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '3R', '9L', '4L']"
